Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_-0.4,profundidad_-0.8,profundidad_-1.2000000000000002,profundidad_-1.6
2021-10-18,330.85,100.94,28.02,,,,
2021-10-28,116.05,87.44,52.29,,,,
2021-11-04,495.95,359.65,232.49,,,,
2021-11-11,182.84,130.13,80.08,,,,
2021-11-18,143.3,109.74,76.17,,,,
2021-11-25,0.12,0.12,0.23,,,,
2021-12-01,380.39,321.91,207.79,,,,
2021-12-10,77.55,66.49,37.97,,,,
2021-12-15,17.19,13.82,9.13,,,,
2021-12-21,86.12,72.34,60.69,,,,
2021-12-28,132.47,94.23,56.98,,,,
2022-01-04,122.97,96.83,57.1,,,,
2022-01-12,120.86,108.02,84.34,,,,
2022-01-19,39.19,28.74,23.67,,,,
2022-01-27,55.39,48.11,31.17,,,,
2022-02-02,296.45,215.04,150.73,,,,
2022-02-10,32.36,27.36,16.01,,,,
2022-02-16,73.45,88.31,75.46,,,,
2022-02-24,123.38,217.17,90.41,,,,
2022-03-02,69.53,54.93,82.79,,,,
2022-03-11,409.32,367.62,329.9,,,,
2022-03-24,174.27,164.59,128.11,,,,
2022-03-28,110.4,93.8,73.79,,,,
2022-04-06,164.97,131.0,79.73,,,,
2022-04-11,318.6,238.6,162.58,,,,
2022-04-19,78.14,77.85,53.94,,,,
2022-04-22,215.67,131.34,122.02,,,,
2022-04-27,76.2,57.53,48.88,,,,
2022-05-06,395.77,374.2,259.47,,,,
2022-05-13,69.87,54.8,72.29,,,,
2022-05-18,93.14,122.75,139.48,,,,
2022-05-26,533.69,201.79,164.88,,,,
2022-06-02,575.8,402.17,226.89,,,,
2022-06-10,71.37,101.41,112.49,,,,
2022-06-17,492.33,399.5,189.37,,,,
2022-06-24,87.23,55.68,49.31,,,,
2022-06-30,396.69,370.53,417.42,,,,
2022-07-06,122.66,88.0,50.38,,,,
2022-07-14,246.34,260.26,268.84,,,,
2022-07-20,517.78,356.8,307.72,,,,
2022-07-28,89.21,75.47,76.24,,,,
2022-08-03,70.44,123.01,116.44,,,,
2022-08-11,257.84,204.51,144.55,,,,
2022-08-17,446.48,825.46,557.79,,,,
2022-08-24,318.89,93.56,77.04,,,,
2022-09-01,191.5,158.81,139.53,,,,
2022-09-07,166.19,88.75,64.38,,,,
2022-09-15,0.12,0.12,0.12,,,,
2022-09-21,0.12,0.12,0.6,,,,
2022-09-27,29.7,46.59,0.12,,,,
2022-09-29,0.12,0.12,0.12,,,,
2022-10-05,0.12,0.12,0.12,,,,
2022-10-11,34.99,10.85,16.41,,,,
2022-10-18,56.57,42.85,29.9,,,,
2022-10-26,0.17,0.17,0.13,,,,
2022-11-02,70.49,49.25,69.88,,,,
2022-11-09,182.07,135.94,54.79,,,,
2022-11-17,339.13,298.78,203.94,,,,
2022-11-24,165.15,119.23,100.58,,,,
2022-12-01,56.23,44.22,31.58,,,,
2022-12-07,101.3,63.48,56.82,,,,
2022-12-16,187.06,95.95,73.75,,,,
2022-12-20,2.33,14.14,10.83,,,,
2022-12-27,0.12,0.13,0.12,,,,
2023-01-03,1.02,2.38,4.32,,,,
2023-01-10,87.34,69.33,63.67,,,,
2023-01-20,67.85,51.51,37.44,,,,
2023-01-25,43.14,26.58,22.8,,,,
2023-02-01,170.11,124.71,88.35,,,,
2023-02-08,228.73,147.48,116.71,,,,
2023-02-14,,30.86,,,,,
2023-02-23,80.39,61.05,46.72,,,,
2023-03-01,395.84,274.36,218.61,,,,
2023-03-08,233.98,489.71,232.57,,,,
2023-03-16,52.05,0.77,1.49,,,,
