Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_-0.6666666666666666,profundidad_-1.3333333333333333,profundidad_-3.0,profundidad_-4.0,profundidad_-5.0,profundidad_-0.4,profundidad_-0.8,profundidad_-1.2000000000000002,profundidad_-1.6
2019-09-10,6.98,6.98,6.98,,,6.98,6.98,,,,,
2019-09-17,5.04,5.74,6.02,,,6.12,6.12,6.12,,,,
2019-09-18,4.91,5.01,5.56,,,6.09,6.12,,,,,
2019-09-19,5.05,5.26,5.91,,,6.11,6.17,,,,,
2019-09-26,5.7,5.7,5.75,,,5.95,6.23,,,,,
2019-10-03,5.84,5.84,5.84,,,5.9,6.28,,,,,
2019-10-15,5.78,5.78,5.78,,,5.78,5.77,,,,,
2019-10-16,5.68,5.68,5.68,,,5.68,5.68,,,,,
2019-10-25,5.29,5.29,5.29,,,5.29,5.29,,,,,
2019-11-04,5.45,5.45,5.44,,,5.44,5.42,,,,,
2019-11-07,5.21,5.26,5.26,,,5.26,5.23,,,,,
2019-11-14,4.94,4.94,4.94,,,4.94,4.94,,,,,
2019-11-21,4.68,4.69,4.71,,,4.71,4.71,,,,,
2019-11-27,4.8,4.77,4.76,,,4.75,4.74,4.74,,,,
2019-12-05,4.39,4.54,4.56,,,4.59,4.65,,,,,
2019-12-11,46.44,46.38,45.91,,,45.79,45.8,,,,,
2019-12-16,4.57,4.56,4.54,,,4.53,4.52,,,,,
2019-12-26,4.61,4.63,4.63,,,4.63,4.63,,,,,
2020-01-03,4.58,4.58,4.58,,,4.58,4.58,,,,,
2020-01-08,4.52,4.51,4.51,,,4.51,4.51,,,,,
2020-01-17,4.46,4.46,4.46,,,4.46,4.46,,,,,
2020-01-23,4.22,4.23,4.28,,,4.31,4.32,,,,,
2020-01-29,4.38,4.36,4.35,,,4.35,4.36,,,,,
2020-02-04,4.55,4.55,4.54,,,4.53,4.49,,,,,
2020-02-11,4.64,4.63,4.63,,,4.62,4.62,,,,,
2020-02-20,4.7,4.72,4.72,,,4.72,4.72,,,,,
2020-02-25,4.76,4.76,4.76,,,4.75,4.75,,,,,
2020-03-05,4.9,4.87,4.85,,,4.84,4.82,,,,,
2020-03-11,4.92,4.9,4.88,,,4.88,4.88,,,,,
2020-03-17,4.96,4.97,5.0,,,5.0,5.0,,,,,
2020-03-27,4.51,4.52,4.53,,,4.53,4.53,,,,,
2020-04-01,4.67,4.67,4.67,,,4.64,4.64,,,,,
2020-04-07,4.82,4.82,4.83,,,4.83,4.83,,,,,
2020-04-14,4.91,4.93,4.93,,,4.92,4.92,,,,,
2020-04-21,5.01,5.01,5.01,,,5.01,5.01,,,,,
2020-05-13,5.45,5.51,5.51,,,5.51,5.51,,,,,
2020-05-20,5.56,5.56,5.55,,,5.55,5.55,,,,,
2020-06-01,5.77,5.76,5.74,,,5.73,5.73,,,,,
2020-06-15,5.8,5.84,5.84,,,5.84,5.84,,,,,
2020-06-26,6.13,6.15,6.14,,,6.13,6.13,,,,,
2020-07-02,6.38,6.41,6.4,,,6.39,6.38,,,,,
2020-07-07,6.45,6.49,6.47,,,6.47,6.47,,,,,
2020-07-17,6.43,6.43,6.42,,,6.42,6.42,,,,,
2020-07-23,6.51,6.5,6.47,,,6.44,6.44,,,,,
2020-07-28,6.63,6.61,6.6,,,6.58,,6.44,,,,
2020-08-04,6.72,,6.76,,,,,,6.77,6.77,6.76,6.58
2020-08-13,6.66,6.68,6.7,,,6.69,6.69,,,,,
2020-08-19,6.68,6.71,6.68,,,6.67,6.67,,,,,
2020-08-26,6.86,6.85,6.82,,,6.81,6.81,,,,,
2020-09-03,6.52,6.52,6.53,,,6.52,6.51,,,,,
2020-09-10,6.45,6.44,6.45,,,6.45,6.44,,,,,
2020-09-16,6.53,6.54,6.54,,,6.54,6.54,,,,,
2020-09-24,6.39,6.45,6.46,,,6.46,6.46,,,,,
2020-09-30,6.17,6.18,6.18,,,6.17,6.17,,,,,
2020-10-08,5.97,5.97,5.94,,,5.97,6.0,,,,,
2020-10-14,5.89,5.91,5.9,,,5.9,5.9,,,,,
2020-10-22,5.81,5.82,5.83,,,5.83,5.83,,,,,
2020-10-29,5.66,5.65,5.62,,,5.6,5.62,,,,,
2020-11-04,5.67,5.67,5.67,,,5.66,5.66,,,,,
2020-11-12,5.61,5.63,5.63,,,5.62,5.62,,,,,
2020-11-18,5.68,5.69,5.69,,,5.69,5.69,,,,,
2020-11-25,5.35,5.38,5.38,,,5.38,5.38,,,,,
2020-12-03,5.1,5.17,5.17,,,5.17,5.17,,,,,
2020-12-10,4.8,4.8,4.8,,,4.8,4.8,,,,,
2020-12-15,4.89,4.89,4.89,,,4.89,4.89,,,,,
2020-12-21,4.9,4.9,4.9,,,4.9,4.9,,,,,
2020-12-29,4.69,4.71,4.71,,,4.71,4.71,,,,,
2021-01-05,4.37,4.37,4.45,,,4.46,4.45,,,,,
2021-01-13,4.37,4.37,4.37,,,4.38,4.41,,,,,
