Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_None
2022-09-15,6.16,,,
2022-09-21,5.56,,,
2022-09-27,5.49,,,
2022-09-29,6.45,,,
2022-10-05,4.0,,,
2022-10-11,6.02,,,
2022-10-18,6.87,,,
2022-10-26,8.75,,,
2022-11-02,8.22,,,
2022-11-09,11.1,,,
2022-11-17,8.15,,,
2022-11-24,8.53,,,
2022-12-01,8.43,,,
2022-12-07,7.74,,,
2022-12-16,7.52,,,
2022-12-20,7.64,,,
2022-12-27,10.16,,,
2023-01-03,10.01,,,
2023-01-10,8.36,,,
2023-01-20,7.86,,,
2023-01-25,7.54,,,
2023-02-01,8.05,,,
2023-02-08,7.01,,,
2023-02-14,6.45,,,
2023-02-23,9.16,,,
2023-03-01,7.91,,,
2023-03-08,8.69,,,
2023-03-16,7.7,,,
2023-03-22,9.27,,,
2023-03-29,8.77,,,
2023-04-04,8.05,,,
2023-04-11,7.84,,,
2023-04-20,7.12,,,
2023-04-27,6.58,,,
2023-05-05,7.02,,,
2023-05-11,7.05,,,
2023-05-18,6.45,,,
2023-05-25,6.65,,,
2023-05-31,8.16,,,
2023-06-05,6.98,,,
2023-06-13,7.37,,,
2023-06-21,8.3,,,
2023-06-28,8.19,,,
2023-07-05,6.9,,,
2023-07-12,7.88,,,
2023-07-19,6.67,,,
2023-07-26,6.67,,,
2023-08-01,6.86,,,
2023-08-10,6.01,,,
2023-08-17,6.01,,,
2023-08-24,5.83,,,
