Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_None
2022-12-27,0.55,,,
2023-01-03,0.46,,,
2023-01-10,0.52,,,
2023-01-20,0.61,,,
2023-01-25,0.74,,,
2023-02-01,0.67,,,
2023-02-08,1.06,,,
2023-02-14,0.56,,,
2023-02-23,0.39,,,
2023-03-01,0.16,,,
2023-03-08,0.12,,,
2023-03-16,0.41,,,
2023-03-22,0.48,,,
2023-03-29,0.42,,,
2023-04-04,0.34,,,
2023-04-11,0.31,,,
2023-04-20,0.26,,,
2023-04-27,0.23,,,
2023-05-05,0.32,,,
2023-05-11,0.3,,,
2023-05-18,0.26,,,
2023-05-25,0.43,,,
2023-05-31,0.17,,,
2023-06-05,0.25,,,
2023-06-13,0.28,,,
2023-06-21,0.25,,,
2023-06-28,0.4,,,
2023-07-05,0.41,,,
2023-07-12,0.39,,,
2023-07-19,0.01,,,
2023-07-26,0.32,,,
2023-08-01,0.33,,,
2023-08-10,0.3,,,
2023-08-17,0.44,,,
2023-08-24,0.33,,,
