Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_None
2022-04-06,38.73,,,
2022-04-11,39.25,,,
2022-04-19,39.44,,,
2022-04-22,38.95,,,
2022-04-27,39.28,,,
2022-05-06,38.8,,,
2022-05-13,38.93,,,
2022-05-18,40.03,,,
2022-05-26,40.26,,,
2022-06-02,41.29,,,
2022-06-10,41.72,,,
2022-06-17,41.75,,,
2022-06-24,41.95,,,
2022-06-30,42.08,,,
2022-07-06,42.51,,,
2022-07-14,42.97,,,
2022-07-20,43.03,,,
2022-07-28,43.06,,,
2022-08-03,43.4,,,
2022-08-11,43.83,,,
2022-08-17,43.38,,,
2022-08-24,44.14,,,
2022-09-01,44.2,,,
2022-09-07,43.83,,,
2022-09-15,43.94,,,
2022-09-21,44.14,,,
2022-09-27,41.17,,,
2022-09-29,42.1,,,
2022-10-05,42.48,,,
2022-10-11,41.68,,,
2022-10-18,41.7,,,
2022-10-26,42.12,,,
2022-11-02,42.19,,,
2022-11-09,42.39,,,
2022-11-17,42.01,,,
2022-11-24,42.14,,,
2022-12-01,42.23,,,
2022-12-07,41.4,,,
2022-12-16,41.54,,,
2022-12-20,41.01,,,
2022-12-27,41.47,,,
2023-01-03,41.39,,,
2023-01-10,41.35,,,
2023-01-20,41.17,,,
2023-01-25,40.57,,,
2023-02-01,41.17,,,
2023-02-08,41.31,,,
2023-02-14,41.11,,,
2023-02-23,41.16,,,
2023-03-01,41.37,,,
2023-03-08,41.47,,,
2023-03-16,41.81,,,
2023-03-22,41.93,,,
2023-03-29,42.24,,,
2023-04-04,42.63,,,
2023-04-11,42.41,,,
2023-04-20,42.38,,,
2023-04-27,42.81,,,
2023-05-05,42.74,,,
2023-05-11,42.99,,,
2023-05-18,43.43,,,
2023-05-25,41.76,,,
2023-05-31,42.07,,,
2023-06-05,42.38,,,
2023-06-13,42.53,,,
2023-06-21,43.5,,,
2023-06-28,43.92,,,
2023-07-05,43.76,,,
2023-07-12,44.37,,,
2023-07-19,44.13,,,
2023-07-26,44.07,,,
2023-08-01,44.5,,,
2023-08-10,44.49,,,
2023-08-17,44.8,,,
2023-08-24,45.3,,,
